Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
Baker J.,Tsonga J.W.,1.0,0.04,0.96,13.73,1.02,22.73,1.04,25.0,1.04,-0.09079999999999998,0.0
Nalbandian D.,Bemelmans R.,0.0,0.93,0.07,1.22,4.15,1.27,4.5,1.08,14.29,0.14960629921259838,-0.6850944716585025
Sweeting R.,Tipsarevic J.,1.0,0.1,0.9,7.5,1.08,9.5,1.1,10.0,1.11,-0.05,-0.009009009009009016
Dimitrov G.,Mahut N.,0.0,0.62,0.38,2.15,1.67,2.3,1.85,1.61,2.63,0.2999999999999999,-0.29657794676806076
Lopez F.,Anderson K.,1.0,0.65,0.35,1.63,2.23,1.67,2.38,1.54,2.86,0.07784431137724544,-0.16783216783216784
Malisse X.,Bolelli S.,0.0,0.68,0.32,1.47,2.62,1.52,2.83,1.47,3.12,0.03289473684210529,-0.09294871794871795
Tsonga J.W.,Dodig I.,1.0,0.85,0.15,1.05,9.3,1.07,13.0,1.18,6.67,-0.09322033898305075,0.4869230769230769
Querrey S.,Benneteau J.,0.0,0.64,0.36,1.4,2.87,1.45,3.35,1.56,2.78,-0.07051282051282057,0.17014925373134338
Rosol L.,Cilic M.,1.0,0.19,0.81,5.72,1.13,7.04,1.16,5.26,1.23,0.2528409090909091,-0.05691056910569111
Lu Y.H.,Tipsarevic J.,0.0,0.27,0.73,5.67,1.15,7.0,1.18,3.7,1.37,0.4714285714285714,-0.13868613138686142
Roger-Vasselin E.,Nalbandian D.,1.0,0.16,0.84,3.04,1.38,3.25,1.43,6.25,1.19,-0.48,0.16783216783216784
Dimitrov G.,Anderson K.,0.0,0.55,0.45,1.75,2.04,1.81,2.2,1.82,2.22,-0.005494505494505499,-0.009009009009009016
Lu Y.H.,Cilic M.,1.0,0.14,0.86,4.21,1.22,4.79,1.25,7.14,1.16,-0.32913165266106437,0.07200000000000006
Nalbandian D.,Malisse X.,0.0,0.7,0.3,1.72,2.1,1.93,2.38,1.43,3.33,0.2590673575129534,-0.28528528528528535
Dodig I.,Querrey S.,1.0,0.39,0.61,3.07,1.36,3.55,1.4,2.56,1.64,0.2788732394366197,-0.14634146341463414
Cilic M.,Querrey S.,0.0,0.67,0.33,1.43,2.74,1.48,2.9,1.49,3.03,-0.00671140939597316,-0.042904290429042875
Dimitrov G.,Nalbandian D.,1.0,0.4,0.6,1.8,1.97,1.9,2.25,2.5,1.67,-0.24000000000000005,0.25777777777777783
Cilic M.,Nalbandian D.,0.0,0.49,0.51,1.79,1.99,1.88,2.26,2.04,1.96,-0.07843137254901968,0.13274336283185834
Kukushkin M.,Berlocq C.,1.0,0.5,0.5,1.68,2.13,1.8,2.25,2.0,2.0,-0.09999999999999998,0.1111111111111111
Harrison R.,Pospisil V.,0.0,0.46,0.54,1.67,2.16,1.86,2.5,2.17,1.85,-0.1428571428571428,0.25999999999999995
Andujar P.,Baghdatis M.,1.0,0.12,0.88,4.89,1.17,5.87,1.2,8.33,1.14,-0.29531812725090034,0.050000000000000044
Chardy J.,Mathieu P.H.,0.0,0.55,0.45,2.44,1.53,2.61,1.57,1.82,2.22,0.3026819923371647,-0.2927927927927928
Ramos A.,Fognini F.,1.0,0.32,0.68,2.25,1.62,2.4,1.72,3.12,1.47,-0.23076923076923084,0.14534883720930233
Baker J.,Young D.,0.0,0.29,0.71,2.12,1.68,2.25,1.79,3.45,1.41,-0.3478260869565218,0.21229050279329614
Ward J.,Matosevic M.,1.0,0.33,0.67,2.64,1.47,2.8,1.52,3.03,1.49,-0.07590759075907591,0.019736842105263174
Lu Y.H.,Benneteau J.,0.0,0.35,0.65,2.67,1.45,2.9,1.54,2.86,1.54,0.013793103448275874,0.0
Ebden M.,Darcis S.,1.0,0.28,0.72,1.66,2.16,1.74,2.35,3.57,1.39,-0.5126050420168067,0.40851063829787243
Istomin D.,Llodra M.,0.0,0.54,0.46,2.39,1.55,2.61,1.64,1.85,2.17,0.2911877394636015,-0.24423963133640555
Soeda G.,Kohlschreiber P.,1.0,0.1,0.9,4.87,1.16,5.72,1.2,10.0,1.11,-0.42800000000000005,0.07499999999999989
Roddick A.,Querrey S.,0.0,0.77,0.23,2.12,1.69,2.25,1.77,1.3,4.35,0.4222222222222222,-0.593103448275862
Gasquet R.,Matosevic M.,1.0,0.86,0.14,1.18,4.63,1.24,5.83,1.16,7.14,0.06451612903225812,-0.18347338935574226
Seppi A.,Berlocq C.,0.0,0.79,0.21,1.26,3.72,1.3,4.2,1.27,4.76,0.023076923076923096,-0.11764705882352934
Tomic B.,Fognini F.,1.0,0.61,0.39,1.32,3.29,1.37,3.56,1.64,2.56,-0.1646341463414633,0.2808988764044944
Darcis S.,Baghdatis M.,0.0,0.27,0.73,3.19,1.33,3.57,1.4,3.7,1.37,-0.03513513513513523,0.02142857142857129
Granollers M.,Istomin D.,1.0,0.34,0.66,2.66,1.45,2.81,1.5,2.94,1.52,-0.0442176870748299,-0.013157894736842117
Harrison R.,Lu Y.H.,0.0,0.55,0.45,1.71,2.08,1.78,2.23,1.82,2.22,-0.021978021978021997,0.0044843049327353305
Chardy J.,Roddick A.,1.0,0.13,0.87,2.94,1.38,3.56,1.45,7.69,1.15,-0.5370611183355007,0.20689655172413796
Kohlschreiber P.,Baker J.,0.0,0.92,0.08,1.1,6.77,1.15,8.0,1.09,12.5,0.05217391304347812,-0.36
Matosevic M.,Darcis S.,1.0,0.36,0.64,1.88,1.87,2.02,1.95,2.78,1.56,-0.27338129496402874,0.19999999999999996
Roddick A.,Fognini F.,0.0,0.86,0.14,1.17,4.83,1.2,5.6,1.16,7.14,0.03333333333333337,-0.21568627450980393
Istomin D.,Harrison R.,1.0,0.7,0.3,1.56,2.38,1.61,2.58,1.43,3.33,0.11180124223602493,-0.22522522522522523
Seppi A.,Kohlschreiber P.,0.0,0.38,0.62,2.13,1.69,2.24,1.77,2.63,1.61,-0.1482889733840303,0.09039548022598866
Darcis S.,Roddick A.,1.0,0.13,0.87,2.71,1.45,3.0,1.53,7.69,1.15,-0.6098829648894668,0.2483660130718955
Seppi A.,Harrison R.,0.0,0.74,0.26,1.45,2.69,1.5,2.94,1.35,3.85,0.09999999999999994,-0.2363636363636364
Seppi A.,Roddick A.,1.0,0.17,0.83,1.74,2.05,1.89,2.2,5.88,1.2,-0.6785714285714286,0.4545454545454546
Sijsling I.,Nieminen J.,0.0,0.28,0.72,2.36,1.57,2.53,1.63,3.57,1.39,-0.2913165266106443,0.147239263803681
Giraldo S.,Muller G.,1.0,0.54,0.46,2.27,1.6,2.4,1.69,1.85,2.17,0.2291666666666666,-0.22119815668202764
